"Date_time","Inq_blend","input_1","input_2","input_3","input_4","filler","Vol","perc_1","perc_2","perc_3","perc_4","perc_5","Res_blend","Inq_country","IP","Dest_country"
"27/10/2021 08:35","15:07:15","AmSul","DAP","MOP","Urea","TRUE",1000,0.583850923,0.152173864,0.24999995,0,0.013975262,"15.0:7.0:15.0:14.0",NA,NA,NA
"27/10/2021 09:01","20:10:10","AmSul","DAP","MOP","Urea","FALSE",1000,0.488776724694095,0.310537465281613,0.200685810024292,0,0,"15.9:14.3:12.0:11.7",NA,NA,NA
"27/10/2021 09:01","20:10:10","CAN","DAP","MOP","Urea","FALSE",1000,0.610793926890361,0.219254314518833,0.169951758590804,0,0,"20.4:10.1:10.2:0.0",NA,NA,NA
"27/10/2021 14:58","16:6:23","CAN","DAP","MOP","Urea","FALSE",100,0.491194726210778,0.128638809042746,0.380166464746482,0,0,"15.6:5.9:22.8:0.0",NA,NA,NA
"27/10/2021 15:06","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.376002299688196,0.126277278766932,0.114818039184634,0.382902382360241,0,"15.0:5.8:22.6:2.8",NA,NA,NA
"27/10/2021 15:06","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.373124968264653,0.124645515309868,0.194154993868353,0.308074522557124,0,"14.6:5.7:22.4:4.7",NA,NA,NA
"27/10/2021 15:06","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.371686265580342,0.123829622272183,0.233823547016784,0.270660565130691,0,"14.4:5.7:22.3:5.6",NA,NA,NA
"27/10/2021 15:06","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.376002299688196,0.126277278766932,0.114818039184634,0.382902382360241,0,"15.0:5.8:22.6:2.8",NA,NA,NA
"27/10/2021 15:06","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.380166464729731,0.128638809061689,1.65004678332254e-10,0.491194726043575,0,"15.6:5.9:22.8:0.0",NA,NA,NA
"27/10/2021 15:07","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.373124968264653,0.124645515309868,0.194154993868353,0.308074522557124,0,"14.6:5.7:22.4:4.7",NA,NA,NA
"27/10/2021 15:08","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.374563650590398,0.125461375180854,0.154486651742562,0.345488322486199,0,"14.8:5.8:22.5:3.7",NA,NA,NA
"27/10/2021 15:08","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.376002299688196,0.126277278766932,0.114818039184634,0.382902382360241,0,"15.0:5.8:22.6:2.8",NA,NA,NA
"27/10/2021 15:09","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.378879658834855,0.127909047369592,0.0354810282657568,0.457730265529796,0,"15.4:5.9:22.7:0.9",NA,NA,NA
"27/10/2021 15:11","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.373124968264653,0.124645515309868,0.194154993868353,0.308074522557124,0,"14.6:5.7:22.4:4.7",NA,NA,NA
"27/10/2021 15:11","16:6:23","MOP","DAP","AmSul","CAN","FALSE",100,0.376002299688196,0.126277278766932,0.114818039184634,0.382902382360241,0,"15.0:5.8:22.6:2.8",NA,NA,NA
"27/10/2021 15:12","16:6:23","MOP","DAP","CAN","CAN","TRUE",100,0.380166464712115,0.128638809072444,0.491194726114062,0,1.01379450239892e-10,"15.6:5.9:22.8:0.0",NA,NA,NA
